document_summary,actual_type
An agreement between two parties for providing consulting services on a monthly retainer.,Service Agreement
Document detailing employee's obligation not to share confidential information.,Non-Disclosure Agreement
This contract outlines payment terms and scope of work for a freelance graphic designer.,Contract
An NDA for a vendor working with proprietary client information.,Non-Disclosure Agreement
Agreement for regular system maintenance and support services.,Service Agreement
Memorandum of understanding for joint marketing partnership.,Contract
Contract for web development and hosting for a small business.,Contract
Non-disclosure agreement signed before discussing startup idea.,Non-Disclosure Agreement
Data sharing agreement between two healthcare institutions.,Data Sharing Agreement
Legal terms for outsourcing customer support operations.,Service Agreement
Agreement to provide legal counsel services on a project basis.,Service Agreement
Confidentiality agreement for beta testers of a mobile app.,Non-Disclosure Agreement
Service contract for cleaning services for office buildings.,Service Agreement
Document stating terms for sharing patient data between clinics.,Data Sharing Agreement
"Employment contract including salary, responsibilities, and benefits.",Contract
NDA signed by interns accessing sensitive data.,Non-Disclosure Agreement
IT support agreement for enterprise software systems.,Service Agreement
Legal agreement outlining terms for financial audit services.,Service Agreement
Contract between landlord and tenant for renting office space.,Contract
Confidentiality agreement for third-party research collaborators.,Non-Disclosure Agreement
Agreement to share logistics and inventory data between companies.,Data Sharing Agreement
Terms and conditions for providing on-demand legal advice.,Service Agreement
Agreement for collaborative academic research project.,Contract
Contractual terms for food supply delivery to restaurants.,Contract
Confidentiality terms signed before a merger discussion.,Non-Disclosure Agreement
